epoch | loss | sim_loss | var_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_feat_std | val_feat_norm
91 | 8.9441 | 0.0005 | 0.3577 | 5.4788 | 114.7384 | 12.3906 | 0.0004 | 0.4956 | 3.8163 | 117.2661
92 | 8.9728 | 0.0005 | 0.3589 | 5.4737 | 114.7666 | 12.3341 | 0.0004 | 0.4933 | 3.8415 | 117.9712
93 | 8.9835 | 0.0005 | 0.3593 | 5.4736 | 114.6738 | 12.2353 | 0.0004 | 0.4894 | 3.8331 | 117.9274
94 | 8.9252 | 0.0005 | 0.3570 | 5.4786 | 114.9690 | 12.1349 | 0.0004 | 0.4854 | 3.8480 | 118.1080
95 | 8.9091 | 0.0005 | 0.3563 | 5.4840 | 115.0533 | 12.0896 | 0.0004 | 0.4836 | 3.8527 | 118.2368
96 | 8.8893 | 0.0005 | 0.3556 | 5.4907 | 115.1526 | 12.0493 | 0.0004 | 0.4820 | 3.8487 | 118.1961
97 | 8.8524 | 0.0005 | 0.3541 | 5.4994 | 115.2700 | 12.0781 | 0.0004 | 0.4831 | 3.8510 | 118.2559
98 | 8.8553 | 0.0005 | 0.3542 | 5.5102 | 115.3381 | 11.9692 | 0.0004 | 0.4788 | 3.8709 | 118.4390
99 | 8.8576 | 0.0005 | 0.3543 | 5.5123 | 115.3729 | 11.9554 | 0.0004 | 0.4782 | 3.8830 | 118.8183
100 | 8.8851 | 0.0005 | 0.3554 | 5.5230 | 115.4841 | 12.0491 | 0.0004 | 0.4819 | 3.8839 | 118.2608
