epoch | loss | sim_loss | var_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_feat_std | val_feat_norm
76 | 6.3708 | 0.0002 | 0.2548 | 4.5817 | 95.7603 | 9.9781 | 0.0001 | 0.3991 | 3.2046 | 99.1065
77 | 6.4708 | 0.0002 | 0.2588 | 4.6531 | 96.2715 | 10.4736 | 0.0002 | 0.4189 | 3.2211 | 101.1069
78 | 6.4910 | 0.0002 | 0.2596 | 4.7832 | 97.2645 | 11.1972 | 0.0001 | 0.4479 | 3.1815 | 101.0088
79 | 6.6034 | 0.0002 | 0.2641 | 4.8426 | 98.5448 | 11.4148 | 0.0001 | 0.4566 | 3.2013 | 102.6849
80 | 6.5442 | 0.0002 | 0.2618 | 4.8653 | 99.0927 | 11.5174 | 0.0001 | 0.4607 | 3.2157 | 102.6267
81 | 6.4812 | 0.0002 | 0.2592 | 4.9098 | 100.2699 | 11.3956 | 0.0001 | 0.4558 | 3.2071 | 102.2728
82 | 6.4461 | 0.0002 | 0.2578 | 4.8958 | 100.4442 | 11.3147 | 0.0001 | 0.4526 | 3.2367 | 104.2324
83 | 6.4449 | 0.0002 | 0.2578 | 4.9029 | 100.5716 | 11.0299 | 0.0001 | 0.4412 | 3.2197 | 103.0474
84 | 6.4400 | 0.0002 | 0.2576 | 4.9241 | 101.8242 | 10.4782 | 0.0001 | 0.4191 | 3.2990 | 106.4297
85 | 6.3488 | 0.0002 | 0.2539 | 4.9408 | 102.3070 | 10.6580 | 0.0001 | 0.4263 | 3.3230 | 106.9324
86 | 6.3756 | 0.0002 | 0.2550 | 5.0051 | 103.6828 | 10.5447 | 0.0001 | 0.4218 | 3.3787 | 106.2244
87 | 6.4837 | 0.0002 | 0.2593 | 4.9927 | 103.7249 | 10.1368 | 0.0001 | 0.4055 | 3.3618 | 108.0893
88 | 6.3884 | 0.0002 | 0.2555 | 5.0289 | 105.1544 | 10.1675 | 0.0001 | 0.4067 | 3.3975 | 108.7581
89 | 6.5121 | 0.0002 | 0.2605 | 5.0932 | 105.5390 | 10.6408 | 0.0001 | 0.4256 | 3.3703 | 109.5516
90 | 6.4607 | 0.0002 | 0.2584 | 5.1156 | 106.6013 | 10.5194 | 0.0001 | 0.4208 | 3.3956 | 110.0330
91 | 6.4026 | 0.0002 | 0.2561 | 5.1777 | 107.6873 | 10.8909 | 0.0001 | 0.4356 | 3.4357 | 111.0277
92 | 6.6596 | 0.0002 | 0.2664 | 5.1623 | 107.3409 | 11.0568 | 0.0001 | 0.4423 | 3.4531 | 110.4012
93 | 6.7261 | 0.0002 | 0.2690 | 5.2189 | 107.9928 | 11.0651 | 0.0001 | 0.4426 | 3.4927 | 110.7349
94 | 6.7362 | 0.0002 | 0.2694 | 5.2517 | 108.6355 | 11.9297 | 0.0001 | 0.4772 | 3.5916 | 112.9651
95 | 6.7473 | 0.0002 | 0.2699 | 5.3676 | 109.9809 | 11.7226 | 0.0001 | 0.4689 | 3.6378 | 113.7568
96 | 6.8457 | 0.0002 | 0.2738 | 5.5260 | 111.3027 | 12.4373 | 0.0001 | 0.4975 | 3.7542 | 115.5146
97 | 7.1587 | 0.0002 | 0.2863 | 5.6398 | 112.8361 | 12.7274 | 0.0001 | 0.5091 | 3.8221 | 117.1866
98 | 6.9798 | 0.0002 | 0.2792 | 5.7226 | 114.8715 | 12.0828 | 0.0001 | 0.4833 | 3.9334 | 119.4616
99 | 7.0050 | 0.0002 | 0.2802 | 5.7494 | 115.4375 | 12.3390 | 0.0001 | 0.4936 | 3.9229 | 120.6842
100 | 6.9102 | 0.0002 | 0.2764 | 5.7654 | 115.9790 | 12.4652 | 0.0001 | 0.4986 | 3.9486 | 120.7532
