epoch | loss | sim_loss | var_loss | cov_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_cov_loss | val_feat_std | val_feat_norm
14 | 73.8966 | 0.5597 | 0.9335 | 36.5659 | 0.5335 | 15.7787 | 165.6335 | 0.4816 | 1.5465 | 114.9305 | 0.1505 | 18.4074
15 | 73.9077 | 0.5597 | 0.9335 | 36.5777 | 0.5335 | 15.7785 | 164.4193 | 0.4838 | 1.5456 | 113.6837 | 0.1520 | 18.4166
16 | 73.8957 | 0.5597 | 0.9334 | 36.5662 | 0.5335 | 15.7791 | 163.6720 | 0.4851 | 1.5463 | 112.8852 | 0.1512 | 18.4364
17 | 73.9021 | 0.5597 | 0.9334 | 36.5746 | 0.5335 | 15.7789 | 162.0655 | 0.4877 | 1.5455 | 111.2345 | 0.1521 | 18.4635
18 | 73.9061 | 0.5597 | 0.9334 | 36.5767 | 0.5335 | 15.7787 | 163.6541 | 0.4846 | 1.5435 | 112.9525 | 0.1544 | 18.4127
19 | 73.8991 | 0.5597 | 0.9334 | 36.5706 | 0.5335 | 15.7791 | 162.5113 | 0.4869 | 1.5439 | 111.7429 | 0.1540 | 18.4702
20 | 73.9035 | 0.5597 | 0.9333 | 36.5771 | 0.5336 | 15.7800 | 161.7732 | 0.4863 | 1.5430 | 111.0393 | 0.1549 | 18.4265
epoch | loss | sim_loss | var_loss | cov_loss | feat_std | feat_norm | val_loss | val_sim_loss | val_var_loss | val_cov_loss | val_feat_std | val_feat_norm
1 | 97.7260 | 0.8414 | 1.7342 | 49.3284 | 0.5537 | 13.7956 | 164.0911 | 1.0829 | 2.1417 | 145.5350 | 0.3441 | 21.0556
2 | 96.5110 | 0.8995 | 1.6512 | 48.9738 | 0.6368 | 14.8339 | 156.7002 | 0.8910 | 2.1764 | 138.2647 | 0.2999 | 18.3651
3 | 96.4806 | 0.9006 | 1.6496 | 48.9588 | 0.6385 | 14.8564 | 155.0472 | 0.8593 | 2.1797 | 136.3481 | 0.2909 | 17.9479
4 | 96.4698 | 0.9010 | 1.6490 | 48.9496 | 0.6391 | 14.8642 | 152.2987 | 0.8302 | 2.1816 | 132.1896 | 0.2857 | 17.4148
5 | 96.4710 | 0.9012 | 1.6488 | 48.9560 | 0.6394 | 14.8688 | 150.8499 | 0.8053 | 2.1838 | 130.4110 | 0.2816 | 17.0142
6 | 96.4661 | 0.9014 | 1.6485 | 48.9553 | 0.6396 | 14.8712 | 150.2874 | 0.8032 | 2.1859 | 129.2605 | 0.2780 | 16.9187
7 | 96.4650 | 0.9015 | 1.6483 | 48.9568 | 0.6398 | 14.8723 | 150.3647 | 0.7987 | 2.1867 | 129.5882 | 0.2754 | 16.9349
8 | 96.4630 | 0.9015 | 1.6482 | 48.9565 | 0.6399 | 14.8737 | 149.6624 | 0.7803 | 2.1855 | 129.1781 | 0.2763 | 16.5029
9 | 96.4597 | 0.9015 | 1.6482 | 48.9532 | 0.6400 | 14.8759 | 149.5788 | 0.7808 | 2.1894 | 128.7522 | 0.2714 | 16.5400
10 | 96.4564 | 0.9016 | 1.6480 | 48.9513 | 0.6400 | 14.8757 | 149.2316 | 0.7748 | 2.1907 | 128.2772 | 0.2693 | 16.4214
11 | 96.4607 | 0.9016 | 1.6481 | 48.9582 | 0.6401 | 14.8771 | 149.4849 | 0.7685 | 2.1909 | 129.0876 | 0.2685 | 16.3519
12 | 96.4595 | 0.9016 | 1.6479 | 48.9628 | 0.6402 | 14.8772 | 149.6925 | 0.7662 | 2.1947 | 129.3943 | 0.2643 | 16.2223
13 | 96.4538 | 0.9017 | 1.6479 | 48.9507 | 0.6402 | 14.8787 | 148.4277 | 0.7653 | 2.1936 | 126.9720 | 0.2651 | 16.2650
14 | 96.4563 | 0.9017 | 1.6479 | 48.9545 | 0.6402 | 14.8784 | 148.5447 | 0.7596 | 2.1933 | 127.5102 | 0.2650 | 16.0652
15 | 96.4556 | 0.9018 | 1.6477 | 48.9586 | 0.6403 | 14.8791 | 148.3001 | 0.7658 | 2.1937 | 126.6899 | 0.2644 | 16.2309
16 | 96.4517 | 0.9017 | 1.6478 | 48.9503 | 0.6403 | 14.8792 | 147.9776 | 0.7553 | 2.1940 | 126.5490 | 0.2637 | 16.0140
17 | 96.4528 | 0.9018 | 1.6477 | 48.9519 | 0.6404 | 14.8795 | 147.8175 | 0.7575 | 2.1975 | 125.9098 | 0.2600 | 16.0947
18 | 96.4548 | 0.9018 | 1.6477 | 48.9583 | 0.6404 | 14.8801 | 148.0415 | 0.7564 | 2.1985 | 126.3542 | 0.2588 | 16.0299
19 | 96.4576 | 0.9018 | 1.6477 | 48.9640 | 0.6404 | 14.8802 | 147.3925 | 0.7504 | 2.1977 | 125.4042 | 0.2594 | 15.9358
20 | 96.4488 | 0.9018 | 1.6476 | 48.9513 | 0.6404 | 14.8806 | 146.9127 | 0.7517 | 2.1995 | 124.2733 | 0.2575 | 15.9997
21 | 96.4515 | 0.9018 | 1.6477 | 48.9539 | 0.6404 | 14.8808 | 146.4075 | 0.7465 | 2.2002 | 123.4801 | 0.2566 | 15.8907
22 | 96.4504 | 0.9018 | 1.6476 | 48.9537 | 0.6405 | 14.8798 | 146.5937 | 0.7516 | 2.2008 | 123.5594 | 0.2558 | 15.9448
23 | 96.4513 | 0.9018 | 1.6476 | 48.9552 | 0.6405 | 14.8809 | 146.9854 | 0.7485 | 2.2013 | 124.4702 | 0.2553 | 15.8371
24 | 96.4494 | 0.9018 | 1.6476 | 48.9545 | 0.6405 | 14.8818 | 146.6027 | 0.7461 | 2.2003 | 123.8837 | 0.2565 | 15.8019
25 | 96.4539 | 0.9018 | 1.6476 | 48.9611 | 0.6405 | 14.8818 | 145.8039 | 0.7329 | 2.1980 | 123.0811 | 0.2587 | 15.5746
26 | 96.4504 | 0.9019 | 1.6475 | 48.9572 | 0.6406 | 14.8824 | 146.1195 | 0.7415 | 2.2017 | 123.0632 | 0.2550 | 15.6920
27 | 96.4491 | 0.9019 | 1.6475 | 48.9568 | 0.6406 | 14.8820 | 145.6729 | 0.7342 | 2.1978 | 122.7690 | 0.2588 | 15.5464
28 | 96.4517 | 0.9018 | 1.6475 | 48.9602 | 0.6406 | 14.8819 | 145.6986 | 0.7367 | 2.2006 | 122.5263 | 0.2559 | 15.6603
29 | 96.4522 | 0.9018 | 1.6475 | 48.9632 | 0.6406 | 14.8826 | 145.2758 | 0.7306 | 2.2008 | 121.9733 | 0.2557 | 15.5151
30 | 96.4485 | 0.9018 | 1.6475 | 48.9565 | 0.6406 | 14.8821 | 145.0615 | 0.7314 | 2.2011 | 121.4836 | 0.2554 | 15.4924
