epoch | loss | sim_loss | var_pred | var_target | cov_pred | cov_target | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_cov_pred | val_cov_target | val_feat_std | val_feat_std_ctx | val_feat_norm
58 | 3.3536 | 0.3773 | 0.7454 | 0.0975 | 1.2606 | 19.0277 | 0.2545 | 0.9234 | 4.2266 | 12.6366 | 0.3275 | 0.8725 | 0.3413 | 42.3635 | 68.2222 | 0.1271 | 0.6745 | 2.9127
59 | 3.3404 | 0.3772 | 0.7452 | 0.0972 | 1.2608 | 18.8996 | 0.2546 | 0.9230 | 4.2288 | 12.6205 | 0.3273 | 0.8722 | 0.3406 | 42.2842 | 68.1503 | 0.1273 | 0.6754 | 2.9156
60 | 3.3275 | 0.3770 | 0.7451 | 0.0970 | 1.2609 | 18.7747 | 0.2547 | 0.9227 | 4.2306 | 12.6105 | 0.3272 | 0.8721 | 0.3398 | 42.2924 | 68.0512 | 0.1275 | 0.6757 | 2.9171
61 | 3.3141 | 0.3768 | 0.7450 | 0.0966 | 1.2612 | 18.6467 | 0.2548 | 0.9224 | 4.2318 | 12.5979 | 0.3271 | 0.8719 | 0.3393 | 42.2826 | 67.9420 | 0.1276 | 0.6761 | 2.9186
62 | 3.3036 | 0.3767 | 0.7449 | 0.0964 | 1.2613 | 18.5445 | 0.2549 | 0.9220 | 4.2332 | 12.5787 | 0.3270 | 0.8718 | 0.3387 | 42.2164 | 67.8247 | 0.1278 | 0.6762 | 2.9205
63 | 3.2934 | 0.3766 | 0.7449 | 0.0961 | 1.2614 | 18.4475 | 0.2550 | 0.9217 | 4.2345 | 12.5650 | 0.3269 | 0.8716 | 0.3380 | 42.2361 | 67.6770 | 0.1279 | 0.6766 | 2.9225
64 | 3.2847 | 0.3764 | 0.7448 | 0.0959 | 1.2616 | 18.3630 | 0.2551 | 0.9213 | 4.2357 | 12.5493 | 0.3269 | 0.8714 | 0.3373 | 42.1889 | 67.5761 | 0.1281 | 0.6773 | 2.9246
65 | 3.2765 | 0.3763 | 0.7447 | 0.0957 | 1.2618 | 18.2841 | 0.2551 | 0.9210 | 4.2365 | 12.5386 | 0.3268 | 0.8713 | 0.3366 | 42.1976 | 67.4693 | 0.1283 | 0.6778 | 2.9254
66 | 3.2669 | 0.3762 | 0.7447 | 0.0953 | 1.2618 | 18.1928 | 0.2552 | 0.9207 | 4.2374 | 12.5206 | 0.3267 | 0.8711 | 0.3361 | 42.1613 | 67.3321 | 0.1284 | 0.6781 | 2.9272
67 | 3.2597 | 0.3762 | 0.7446 | 0.0951 | 1.2619 | 18.1231 | 0.2553 | 0.9203 | 4.2381 | 12.5041 | 0.3266 | 0.8710 | 0.3354 | 42.1528 | 67.1836 | 0.1286 | 0.6786 | 2.9283
68 | 3.2532 | 0.3761 | 0.7446 | 0.0949 | 1.2620 | 18.0611 | 0.2553 | 0.9200 | 4.2386 | 12.4947 | 0.3266 | 0.8709 | 0.3349 | 42.1899 | 67.0583 | 0.1286 | 0.6785 | 2.9303
69 | 3.2462 | 0.3760 | 0.7445 | 0.0947 | 1.2622 | 17.9946 | 0.2553 | 0.9196 | 4.2390 | 12.4713 | 0.3265 | 0.8707 | 0.3344 | 42.0950 | 66.9267 | 0.1288 | 0.6790 | 2.9313
70 | 3.2408 | 0.3759 | 0.7445 | 0.0945 | 1.2622 | 17.9429 | 0.2554 | 0.9193 | 4.2393 | 12.4699 | 0.3264 | 0.8706 | 0.3340 | 42.1715 | 66.8422 | 0.1289 | 0.6792 | 2.9327
71 | 3.2352 | 0.3759 | 0.7445 | 0.0943 | 1.2623 | 17.8891 | 0.2554 | 0.9189 | 4.2396 | 12.4499 | 0.3264 | 0.8706 | 0.3335 | 42.1422 | 66.6760 | 0.1290 | 0.6791 | 2.9338
72 | 3.2297 | 0.3758 | 0.7444 | 0.0941 | 1.2623 | 17.8366 | 0.2554 | 0.9188 | 4.2401 | 12.4340 | 0.3263 | 0.8704 | 0.3330 | 42.0829 | 66.5832 | 0.1291 | 0.6798 | 2.9351
73 | 3.2257 | 0.3758 | 0.7444 | 0.0940 | 1.2625 | 17.7981 | 0.2554 | 0.9186 | 4.2404 | 12.4222 | 0.3263 | 0.8703 | 0.3325 | 42.0710 | 66.4835 | 0.1292 | 0.6799 | 2.9364
74 | 3.2208 | 0.3757 | 0.7444 | 0.0938 | 1.2624 | 17.7520 | 0.2555 | 0.9185 | 4.2406 | 12.4168 | 0.3263 | 0.8702 | 0.3323 | 42.0651 | 66.4387 | 0.1293 | 0.6802 | 2.9373
75 | 3.2169 | 0.3757 | 0.7444 | 0.0937 | 1.2624 | 17.7145 | 0.2555 | 0.9183 | 4.2405 | 12.4111 | 0.3262 | 0.8702 | 0.3319 | 42.1118 | 66.3383 | 0.1294 | 0.6802 | 2.9379
76 | 3.2138 | 0.3757 | 0.7444 | 0.0936 | 1.2626 | 17.6852 | 0.2555 | 0.9181 | 4.2406 | 12.4011 | 0.3262 | 0.8701 | 0.3317 | 42.0613 | 66.2925 | 0.1294 | 0.6803 | 2.9391
77 | 3.2109 | 0.3756 | 0.7444 | 0.0935 | 1.2626 | 17.6564 | 0.2554 | 0.9179 | 4.2402 | 12.3996 | 0.3261 | 0.8700 | 0.3314 | 42.1101 | 66.2318 | 0.1295 | 0.6807 | 2.9392
78 | 3.2075 | 0.3756 | 0.7444 | 0.0934 | 1.2625 | 17.6247 | 0.2554 | 0.9178 | 4.2397 | 12.3896 | 0.3261 | 0.8700 | 0.3310 | 42.1111 | 66.1348 | 0.1295 | 0.6805 | 2.9402
79 | 3.2046 | 0.3756 | 0.7445 | 0.0933 | 1.2625 | 17.5963 | 0.2554 | 0.9176 | 4.2390 | 12.3815 | 0.3261 | 0.8700 | 0.3309 | 42.0803 | 66.0875 | 0.1296 | 0.6809 | 2.9405
80 | 3.2019 | 0.3756 | 0.7445 | 0.0932 | 1.2624 | 17.5708 | 0.2553 | 0.9175 | 4.2383 | 12.3751 | 0.3261 | 0.8699 | 0.3306 | 42.0738 | 66.0324 | 0.1296 | 0.6809 | 2.9408
81 | 3.2000 | 0.3755 | 0.7446 | 0.0931 | 1.2626 | 17.5525 | 0.2553 | 0.9172 | 4.2372 | 12.3688 | 0.3261 | 0.8699 | 0.3304 | 42.0958 | 65.9490 | 0.1297 | 0.6810 | 2.9413
82 | 3.1976 | 0.3755 | 0.7446 | 0.0930 | 1.2625 | 17.5296 | 0.2552 | 0.9170 | 4.2363 | 12.3641 | 0.3260 | 0.8699 | 0.3303 | 42.0938 | 65.9066 | 0.1296 | 0.6808 | 2.9415
83 | 3.1956 | 0.3755 | 0.7447 | 0.0929 | 1.2624 | 17.5107 | 0.2551 | 0.9168 | 4.2350 | 12.3584 | 0.3260 | 0.8699 | 0.3302 | 42.0851 | 65.8592 | 0.1297 | 0.6809 | 2.9416
84 | 3.1943 | 0.3755 | 0.7448 | 0.0929 | 1.2624 | 17.4986 | 0.2551 | 0.9166 | 4.2340 | 12.3552 | 0.3260 | 0.8699 | 0.3299 | 42.0870 | 65.8281 | 0.1297 | 0.6809 | 2.9413
85 | 3.1924 | 0.3755 | 0.7449 | 0.0928 | 1.2622 | 17.4807 | 0.2550 | 0.9164 | 4.2326 | 12.3450 | 0.3260 | 0.8698 | 0.3298 | 42.0621 | 65.7526 | 0.1297 | 0.6810 | 2.9419
86 | 3.1909 | 0.3755 | 0.7448 | 0.0927 | 1.2624 | 17.4662 | 0.2550 | 0.9164 | 4.2334 | 12.3440 | 0.3260 | 0.8697 | 0.3296 | 42.0667 | 65.7417 | 0.1299 | 0.6812 | 2.9436
87 | 3.1899 | 0.3755 | 0.7447 | 0.0927 | 1.2626 | 17.4563 | 0.2551 | 0.9164 | 4.2349 | 12.3494 | 0.3259 | 0.8696 | 0.3295 | 42.1087 | 65.7550 | 0.1299 | 0.6813 | 2.9448
88 | 3.1884 | 0.3755 | 0.7446 | 0.0926 | 1.2626 | 17.4425 | 0.2552 | 0.9165 | 4.2360 | 12.3486 | 0.3259 | 0.8696 | 0.3295 | 42.1105 | 65.7464 | 0.1300 | 0.6814 | 2.9459
89 | 3.1876 | 0.3755 | 0.7446 | 0.0926 | 1.2628 | 17.4346 | 0.2553 | 0.9164 | 4.2370 | 12.3507 | 0.3258 | 0.8695 | 0.3294 | 42.1321 | 65.7463 | 0.1300 | 0.6812 | 2.9468
90 | 3.1861 | 0.3754 | 0.7445 | 0.0926 | 1.2626 | 17.4205 | 0.2553 | 0.9165 | 4.2378 | 12.3454 | 0.3258 | 0.8694 | 0.3295 | 42.0974 | 65.7286 | 0.1301 | 0.6816 | 2.9476
