epoch | loss | sim_loss | var_pred | var_target | var_ctx | cov_pred | cov_target | cov_ctx | feat_std | feat_std_ctx | feat_norm | val_loss | val_sim_loss | val_var_pred | val_var_target | val_var_ctx | val_cov_pred | val_cov_target | val_cov_ctx | val_feat_std | val_feat_std_ctx | val_feat_norm
33 | 21.1288 | 1.9183 | 0.0151 | 0.0110 | 0.0004 | 1.1613 | 0.0631 | 0.0615 | 0.9872 | 1.0415 | 7.9087 | 63.6872 | 1.1552 | 0.3829 | 0.2934 | 0.2577 | 22.3979 | 3.4479 | 2.9377 | 0.6848 | 0.7794 | 6.4568
34 | 21.1127 | 1.9170 | 0.0151 | 0.0108 | 0.0004 | 1.1614 | 0.0631 | 0.0614 | 0.9872 | 1.0411 | 7.9080 | 63.3846 | 1.1487 | 0.3844 | 0.2933 | 0.2572 | 22.1166 | 3.4667 | 2.9401 | 0.6814 | 0.7796 | 6.4182
35 | 21.1063 | 1.9164 | 0.0151 | 0.0107 | 0.0004 | 1.1613 | 0.0630 | 0.0613 | 0.9871 | 1.0407 | 7.9068 | 63.4779 | 1.1460 | 0.3859 | 0.2958 | 0.2588 | 22.0845 | 3.4585 | 2.9632 | 0.6782 | 0.7758 | 6.3798
36 | 21.1019 | 1.9160 | 0.0151 | 0.0107 | 0.0004 | 1.1611 | 0.0630 | 0.0613 | 0.9871 | 1.0403 | 7.9059 | 63.6414 | 1.1370 | 0.3880 | 0.2980 | 0.2628 | 22.0941 | 3.4937 | 2.9641 | 0.6740 | 0.7711 | 6.3475
37 | 21.0950 | 1.9155 | 0.0151 | 0.0107 | 0.0004 | 1.1608 | 0.0630 | 0.0613 | 0.9872 | 1.0400 | 7.9050 | 63.7361 | 1.1352 | 0.3888 | 0.2997 | 0.2638 | 22.0963 | 3.4929 | 2.9859 | 0.6714 | 0.7694 | 6.3122
38 | 21.0860 | 1.9146 | 0.0151 | 0.0106 | 0.0004 | 1.1609 | 0.0630 | 0.0613 | 0.9871 | 1.0395 | 7.9042 | 63.8161 | 1.1310 | 0.3901 | 0.3029 | 0.2673 | 22.0508 | 3.4864 | 2.9634 | 0.6685 | 0.7652 | 6.2808
39 | 21.0811 | 1.9139 | 0.0152 | 0.0106 | 0.0005 | 1.1610 | 0.0630 | 0.0612 | 0.9871 | 1.0391 | 7.9032 | 63.8331 | 1.1240 | 0.3918 | 0.3056 | 0.2688 | 21.9285 | 3.5048 | 3.0045 | 0.6651 | 0.7627 | 6.2493
40 | 21.0755 | 1.9135 | 0.0151 | 0.0106 | 0.0005 | 1.1610 | 0.0630 | 0.0612 | 0.9871 | 1.0387 | 7.9029 | 63.8665 | 1.1229 | 0.3932 | 0.3077 | 0.2705 | 21.8140 | 3.5309 | 3.0076 | 0.6625 | 0.7598 | 6.2182
41 | 21.0681 | 1.9128 | 0.0152 | 0.0105 | 0.0005 | 1.1609 | 0.0628 | 0.0611 | 0.9871 | 1.0383 | 7.9018 | 63.7169 | 1.1165 | 0.3947 | 0.3087 | 0.2746 | 21.5871 | 3.5186 | 2.9938 | 0.6593 | 0.7557 | 6.1856
42 | 21.0622 | 1.9120 | 0.0152 | 0.0106 | 0.0005 | 1.1610 | 0.0628 | 0.0610 | 0.9870 | 1.0379 | 7.9005 | 63.6804 | 1.1137 | 0.3965 | 0.3112 | 0.2749 | 21.4595 | 3.5115 | 3.0074 | 0.6561 | 0.7553 | 6.1560
43 | 21.0572 | 1.9117 | 0.0152 | 0.0105 | 0.0005 | 1.1608 | 0.0629 | 0.0610 | 0.9870 | 1.0376 | 7.8998 | 63.6258 | 1.1146 | 0.3978 | 0.3118 | 0.2757 | 21.3139 | 3.5305 | 3.0011 | 0.6535 | 0.7540 | 6.1269
44 | 21.0513 | 1.9111 | 0.0153 | 0.0104 | 0.0006 | 1.1605 | 0.0627 | 0.0609 | 0.9870 | 1.0372 | 7.8985 | 63.7532 | 1.1112 | 0.3994 | 0.3153 | 0.2804 | 21.2211 | 3.5427 | 2.9980 | 0.6504 | 0.7486 | 6.1034
45 | 21.0469 | 1.9108 | 0.0153 | 0.0104 | 0.0006 | 1.1603 | 0.0627 | 0.0609 | 0.9870 | 1.0368 | 7.8982 | 63.8909 | 1.1086 | 0.4006 | 0.3178 | 0.2835 | 21.1459 | 3.5809 | 3.0301 | 0.6478 | 0.7446 | 6.0796
46 | 21.0463 | 1.9108 | 0.0152 | 0.0104 | 0.0006 | 1.1602 | 0.0627 | 0.0609 | 0.9871 | 1.0363 | 7.8982 | 64.0264 | 1.1064 | 0.4023 | 0.3206 | 0.2855 | 21.0929 | 3.6039 | 3.0565 | 0.6452 | 0.7419 | 6.0570
47 | 21.0396 | 1.9099 | 0.0152 | 0.0104 | 0.0006 | 1.1600 | 0.0627 | 0.0608 | 0.9870 | 1.0359 | 7.8974 | 64.0373 | 1.1056 | 0.4035 | 0.3212 | 0.2871 | 21.0385 | 3.6105 | 3.0388 | 0.6431 | 0.7406 | 6.0340
48 | 21.0337 | 1.9095 | 0.0152 | 0.0103 | 0.0006 | 1.1598 | 0.0626 | 0.0608 | 0.9870 | 1.0355 | 7.8968 | 64.1282 | 1.1037 | 0.4047 | 0.3232 | 0.2881 | 20.9651 | 3.6479 | 3.0771 | 0.6407 | 0.7393 | 6.0108
49 | 21.0342 | 1.9093 | 0.0153 | 0.0103 | 0.0007 | 1.1598 | 0.0626 | 0.0607 | 0.9869 | 1.0351 | 7.8955 | 64.0878 | 1.1029 | 0.4062 | 0.3245 | 0.2896 | 20.8560 | 3.6379 | 3.0582 | 0.6386 | 0.7375 | 5.9920
50 | 21.0295 | 1.9091 | 0.0152 | 0.0103 | 0.0007 | 1.1597 | 0.0624 | 0.0605 | 0.9870 | 1.0347 | 7.8955 | 64.1092 | 1.0979 | 0.4076 | 0.3259 | 0.2917 | 20.7757 | 3.6533 | 3.0726 | 0.6364 | 0.7354 | 5.9739
51 | 21.0280 | 1.9087 | 0.0153 | 0.0103 | 0.0007 | 1.1598 | 0.0625 | 0.0605 | 0.9869 | 1.0342 | 7.8944 | 64.2276 | 1.0971 | 0.4090 | 0.3282 | 0.2944 | 20.6946 | 3.6853 | 3.0876 | 0.6344 | 0.7326 | 5.9563
52 | 21.0228 | 1.9082 | 0.0153 | 0.0103 | 0.0008 | 1.1596 | 0.0624 | 0.0605 | 0.9869 | 1.0338 | 7.8938 | 64.1702 | 1.0965 | 0.4101 | 0.3286 | 0.2946 | 20.6133 | 3.6915 | 3.0689 | 0.6327 | 0.7323 | 5.9400
53 | 21.0190 | 1.9078 | 0.0153 | 0.0103 | 0.0008 | 1.1597 | 0.0623 | 0.0604 | 0.9869 | 1.0334 | 7.8932 | 64.2617 | 1.0957 | 0.4113 | 0.3306 | 0.2968 | 20.5348 | 3.7087 | 3.0924 | 0.6310 | 0.7295 | 5.9249
54 | 21.0145 | 1.9075 | 0.0153 | 0.0102 | 0.0008 | 1.1598 | 0.0622 | 0.0603 | 0.9870 | 1.0331 | 7.8935 | 64.3354 | 1.0947 | 0.4124 | 0.3326 | 0.2996 | 20.4643 | 3.7058 | 3.1037 | 0.6293 | 0.7262 | 5.9114
55 | 21.0129 | 1.9069 | 0.0154 | 0.0102 | 0.0008 | 1.1597 | 0.0622 | 0.0602 | 0.9868 | 1.0329 | 7.8922 | 64.3651 | 1.0931 | 0.4140 | 0.3344 | 0.3009 | 20.3623 | 3.7369 | 3.0999 | 0.6273 | 0.7247 | 5.8979
